NNDSS_-_TABLE_1W._Meningococcal_disease__All_serogroups_to_Meningococcal_disease__Serogroup_B
Reporting Area,MMWR Year,MMWR Week,"Meningococcal disease, All serogroups, Current week","Meningococcal disease, All serogroups, Current week, flag","Meningococcal disease, All serogroups, Previous 52 weeks Max†","Meningococcal disease, All serogroups, Previous 52 weeks Max†, flag","Meningococcal disease, All serogroups, Cum 2022†","Meningococcal disease, All serogroups, Cum 2022†, flag","Meningococcal disease, All serogroups, Cum 2021†","Meningococcal disease, All serogroups, Cum 2021†, flag","Meningococcal disease, Serogroups ACWY, Current week","Meningococcal disease, Serogroups ACWY, Current week, flag","Meningococcal disease, Serogroups ACWY, Previous 52 weeks Max†","Meningococcal disease, Serogroups ACWY, Previous 52 weeks Max†, flag","Meningococcal disease, Serogroups ACWY, Cum 2022†","Meningococcal disease, Serogroups ACWY, Cum 2022†, flag","Meningococcal disease, Serogroups ACWY, Cum 2021†","Meningococcal disease, Serogroups ACWY, Cum 2021†, flag","Meningococcal disease, Serogroup B, Current week","Meningococcal disease, Serogroup B, Current week, flag","Meningococcal disease, Serogroup B, Previous 52 weeks Max†","Meningococcal disease, Serogroup B, Previous 52 weeks Max†, flag","Meningococcal disease, Serogroup B, Cum 2022†","Meningococcal disease, Serogroup B, Cum 2022†, flag","Meningococcal disease, Serogroup B, Cum 2021†","Meningococcal disease, Serogroup B, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocode
SOUTH CAROLINA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,202200235,POINT (-80.864614 33.878572)
IDAHO,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,202200251,POINT (-114.659366 44.389073)
MARYLAND,2022,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,202200233,POINT (-76.687282 38.946466)
IOWA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,202200221,POINT (-93.500061 42.074659)
WYOMING,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200256,POINT (-107.55145 42.999627)
VIRGINIA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,202200236,POINT (-78.666382 37.510861)
FLORIDA,2022,2,5,,3,,5,,,-,,-,1,,,-,,-,,-,1,,,-,,-,FLORIDA,,202200231,POINT (-82.420978 28.260731)
COLORADO,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,202200250,POINT (-105.547832 38.998552)
NEW HAMPSHIRE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200206,POINT (-71.57139 43.680429)
NEW JERSEY,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,202200210,POINT (-74.655514 40.110253)
WASHINGTON,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,202200262,POINT (-120.592492 47.411715)
CONNECTICUT,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,202200203,POINT (-72.738288 41.575155)
PUERTO RICO,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,202200267,POINT (-66.414655 18.215692)
ARKANSAS,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,202200244,POINT (-92.439162 34.899825)
US RESIDENTS,2022,2,5,,8,,10,,2,,,-,4,,,-,,-,,-,2,,1,,,-,,US RESIDENTS,202200201,
EAST SOUTH CENTRAL,2022,2,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,202200238,
INDIANA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,INDIANA,,202200216,POINT (-86.2818 39.919991)
ALABAMA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,202200239,POINT (-86.844516 32.756889)
OREGON,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,OREGON,,202200261,POINT (-120.605279 43.940449)
TEXAS,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,TEXAS,,202200247,POINT (-99.317341 31.447238)
US TERRITORIES,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200263,
HAWAII,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,202200260,POINT (-157.854309 21.361013)
WEST VIRGINIA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200237,POINT (-80.613729 38.642579)
ALASKA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,202200258,POINT (-151.631889 63.631126)
MISSOURI,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,202200224,POINT (-92.477244 38.3675)
WEST VIRGINIA,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200437,POINT (-80.613729 38.642579)
MIDDLE ATLANTIC,2022,4,1,,4,,5,,3,,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,202200409,
IOWA,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,202200421,POINT (-93.500061 42.074659)
PUERTO RICO,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,202200467,POINT (-66.414655 18.215692)
COLORADO,2022,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,202200450,POINT (-105.547832 38.998552)
GEORGIA,2022,4,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,202200432,POINT (-83.426574 32.638481)
MOUNTAIN,2022,4,,-,2,,,-,1,,,-,1,,,-,1,,,-,1,,,-,,-,,MOUNTAIN,202200448,
NEBRASKA,2022,4,,-,1,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,NEBRASKA,,202200425,POINT (-99.810595 41.527099)
U.S. VIRGIN ISLANDS,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200468,
WASHINGTON,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,202200462,POINT (-120.592492 47.411715)
TOTAL,2022,4,1,,9,,17,,11,,,-,4,,,-,2,,,-,2,,1,,1,,,TOTAL,202200470,
HAWAII,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,202200460,POINT (-157.854309 21.361013)
NEW JERSEY,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,202200410,POINT (-74.655514 40.110253)
DISTRICT OF COLUMBIA,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,202200430,POINT (-77.016275 38.904785)
RHODE ISLAND,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200407,POINT (-71.534637 41.572574)
NEVADA,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,202200453,POINT (-114.916992 39.283294)
SOUTH DAKOTA,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200427,POINT (-100.230491 44.43614)
US RESIDENTS,2022,4,1,,9,,17,,11,,,-,4,,,-,2,,,-,2,,1,,1,,,US RESIDENTS,202200401,
OREGON,2022,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,OREGON,,202200461,POINT (-120.605279 43.940449)
EAST SOUTH CENTRAL,2022,4,,-,1,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,202200438,
US TERRITORIES,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200463,
MICHIGAN,2022,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,MICHIGAN,,202200417,POINT (-85.730977 44.874798)
ARIZONA,2022,4,,-,1,,,-,1,,,-,1,,,-,1,,,-,0,,,-,,-,ARIZONA,,202200449,POINT (-111.664616 34.293239)
CALIFORNIA,2022,4,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,202200459,POINT (-119.662127 37.211164)
MINNESOTA,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200423,POINT (-94.198308 46.349153)
NEW YORK,2022,4,1,,2,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW YORK,,202200411,POINT (-75.59655 42.921241)
TENNESSEE,2022,4,,-,1,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,202200442,POINT (-86.343226 35.842998)
VERMONT,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,202200408,POINT (-72.662695 44.075252)
SOUTH ATLANTIC,2022,4,,-,5,,7,,2,,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,202200428,
OKLAHOMA,2022,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,202200446,POINT (-97.508297 35.583449)
NEW ENGLAND,2022,4,,-,1,,,-,2,,,-,1,,,-,1,,,-,1,,,-,1,,,NEW ENGLAND,202200402,
FLORIDA,2022,4,,-,5,,7,,1,,,-,1,,,-,,-,,-,1,,,-,,-,FLORIDA,,202200431,POINT (-82.420978 28.260731)
WISCONSIN,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,202200419,POINT (-89.732969 44.639954)
WEST SOUTH CENTRAL,2022,4,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,202200443,
IDAHO,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,202200451,POINT (-114.659366 44.389073)
TEXAS,2022,4,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,TEXAS,,202200447,POINT (-99.317341 31.447238)
SOUTH CAROLINA,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,202200435,POINT (-80.864614 33.878572)
EAST NORTH CENTRAL,2022,4,,-,2,,1,,1,,,-,1,,,-,,-,,-,2,,1,,,-,,EAST NORTH CENTRAL,202200414,
ILLINOIS,2022,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ILLINOIS,,202200415,POINT (-89.148632 40.124144)
ALABAMA,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,202200439,POINT (-86.844516 32.756889)
NORTHERN MARIANA ISLANDS,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200465,POINT (145.725693 15.1834)
OHIO,2022,4,,-,1,,1,,1,,,-,1,,,-,,-,,-,1,,1,,,-,OHIO,,202200418,POINT (-82.70936 40.415534)
LOUISIANA,2022,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,202200445,POINT (-91.840238 30.921314)
DELAWARE,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200429,POINT (-75.452394 38.994926)
NEW MEXICO,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200454,POINT (-106.108388 34.421369)
VIRGINIA,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,202200436,POINT (-78.666382 37.510861)
MASSACHUSETTS,2022,4,,-,1,,,-,2,,,-,1,,,-,1,,,-,0,,,-,1,,MASSACHUSETTS,,202200405,POINT (-71.481104 42.151077)
KENTUCKY,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,202200440,POINT (-85.290484 37.526683)
NORTH DAKOTA,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,202200426,POINT (-100.46931 47.446305)
NORTH CAROLINA,2022,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,202200434,POINT (-79.130883 35.52603)
GUAM,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,202200466,POINT (144.653198 13.3532)
MISSOURI,2022,4,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,202200424,POINT (-92.477244 38.3675)
ALASKA,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,202200458,POINT (-151.631889 63.631126)
CONNECTICUT,2022,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,202200403,POINT (-72.738288 41.575155)
ARKANSAS,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,202200444,POINT (-92.439162 34.899825)
MAINE,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,202200404,POINT (-69.06137 45.117911)
AMERICAN SAMOA,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,AMERICAN SAMOA,,202200464,
WASHINGTON,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,202200362,POINT (-120.592492 47.411715)
WEST VIRGINIA,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200337,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2022,3,,-,1,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,202200338,
OKLAHOMA,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,202200346,POINT (-97.508297 35.583449)
MONTANA,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,202200352,POINT (-109.645127 47.033521)
U.S. VIRGIN ISLANDS,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200368,
ILLINOIS,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ILLINOIS,,202200315,POINT (-89.148632 40.124144)
NON-US RESIDENTS,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200369,
AMERICAN SAMOA,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,AMERICAN SAMOA,,202200364,
NORTH CAROLINA,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,202200334,POINT (-79.130883 35.52603)
IOWA,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,202200321,POINT (-93.500061 42.074659)
MAINE,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,202200304,POINT (-69.06137 45.117911)
LOUISIANA,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,202200345,POINT (-91.840238 30.921314)
NEW MEXICO,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200354,POINT (-106.108388 34.421369)
SOUTH ATLANTIC,2022,3,2,,5,,7,,1,,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,202200328,
WEST SOUTH CENTRAL,2022,3,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,202200343,
SOUTH CAROLINA,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,202200335,POINT (-80.864614 33.878572)
ARKANSAS,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,202200344,POINT (-92.439162 34.899825)
IDAHO,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,202200351,POINT (-114.659366 44.389073)
CALIFORNIA,2022,3,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,202200359,POINT (-119.662127 37.211164)
NEBRASKA,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEBRASKA,,202200325,POINT (-99.810595 41.527099)
TENNESSEE,2022,3,,-,1,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,202200342,POINT (-86.343226 35.842998)
WYOMING,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200356,POINT (-107.55145 42.999627)
OHIO,2022,3,,-,1,,1,,,-,,-,1,,,-,,-,,-,1,,1,,,-,OHIO,,202200318,POINT (-82.70936 40.415534)
VIRGINIA,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,202200336,POINT (-78.666382 37.510861)
TOTAL,2022,3,4,,9,,15,,6,,,-,4,,,-,1,,,-,2,,1,,1,,,TOTAL,202200370,
GUAM,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,202200366,POINT (144.653198 13.3532)
MICHIGAN,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,MICHIGAN,,202200317,POINT (-85.730977 44.874798)
KANSAS,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200422,POINT (-98.38018 38.484729)
PACIFIC,2022,4,,-,1,,1,,1,,,-,1,,,-,,-,,-,1,,,-,,-,,PACIFIC,202200457,
UTAH,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,202200455,POINT (-111.678222 39.323779)
NEW HAMPSHIRE,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200406,POINT (-71.57139 43.680429)
WEST NORTH CENTRAL,2022,4,,-,1,,1,,1,,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,202200420,
INDIANA,2022,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,INDIANA,,202200416,POINT (-86.2818 39.919991)
PENNSYLVANIA,2022,4,,-,1,,2,,3,,,-,1,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,202200413,POINT (-77.838886 40.896694)
MISSOURI,2022,3,1,,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,202200324,POINT (-92.477244 38.3675)
NEW YORK CITY,2022,3,1,,2,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK CITY,,202200312,
ARIZONA,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,202200349,POINT (-111.664616 34.293239)
MINNESOTA,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200323,POINT (-94.198308 46.349153)
US TERRITORIES,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200363,
UTAH,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,202200355,POINT (-111.678222 39.323779)
DISTRICT OF COLUMBIA,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,202200330,POINT (-77.016275 38.904785)
KENTUCKY,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,202200340,POINT (-85.290484 37.526683)
KANSAS,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200322,POINT (-98.38018 38.484729)
EAST NORTH CENTRAL,2022,3,,-,2,,1,,,-,,-,1,,,-,,-,,-,2,,1,,,-,,EAST NORTH CENTRAL,202200314,
FLORIDA,2022,3,2,,5,,7,,,-,,-,1,,,-,,-,,-,1,,,-,,-,FLORIDA,,202200331,POINT (-82.420978 28.260731)
PENNSYLVANIA,2022,3,,-,1,,1,,2,,,-,1,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,202200313,POINT (-77.838886 40.896694)
CONNECTICUT,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,202200303,POINT (-72.738288 41.575155)
MOUNTAIN,2022,3,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,202200348,
MIDDLE ATLANTIC,2022,3,1,,4,,3,,2,,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,202200309,
INDIANA,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,INDIANA,,202200316,POINT (-86.2818 39.919991)
COLORADO,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,202200350,POINT (-105.547832 38.998552)
PACIFIC,2022,3,,-,1,,1,,1,,,-,1,,,-,,-,,-,1,,,-,,-,,PACIFIC,202200357,
ALABAMA,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,202200339,POINT (-86.844516 32.756889)
MISSISSIPPI,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,202200341,POINT (-89.65344 32.713378)
VERMONT,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,202200308,POINT (-72.662695 44.075252)
DELAWARE,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200329,POINT (-75.452394 38.994926)
NORTHERN MARIANA ISLANDS,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200365,POINT (145.725693 15.1834)
SOUTH DAKOTA,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200327,POINT (-100.230491 44.43614)
RHODE ISLAND,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200307,POINT (-71.534637 41.572574)
WISCONSIN,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,202200319,POINT (-89.732969 44.639954)
NEW JERSEY,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,202200310,POINT (-74.655514 40.110253)
NEVADA,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,202200353,POINT (-114.916992 39.283294)
US RESIDENTS,2022,3,4,,9,,15,,6,,,-,4,,,-,1,,,-,2,,1,,1,,,US RESIDENTS,202200301,
WEST NORTH CENTRAL,2022,3,1,,1,,1,,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,202200320,
HAWAII,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,202200360,POINT (-157.854309 21.361013)
TEXAS,2022,3,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,TEXAS,,202200347,POINT (-99.317341 31.447238)
NORTH DAKOTA,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,202200326,POINT (-100.46931 47.446305)
ALASKA,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,202200358,POINT (-151.631889 63.631126)
NEW ENGLAND,2022,3,,-,1,,,-,2,,,-,1,,,-,1,,,-,1,,,-,1,,,NEW ENGLAND,202200302,
GEORGIA,2022,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,202200332,POINT (-83.426574 32.638481)
OREGON,2022,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,OREGON,,202200361,POINT (-120.605279 43.940449)
NEW YORK,2022,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW YORK,,202200311,POINT (-75.59655 42.921241)
MASSACHUSETTS,2022,3,,-,1,,,-,2,,,-,1,,,-,1,,,-,0,,,-,1,,MASSACHUSETTS,,202200305,POINT (-71.481104 42.151077)
PUERTO RICO,2022,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,202200367,POINT (-66.414655 18.215692)
MARYLAND,2022,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,202200333,POINT (-76.687282 38.946466)
NEW HAMPSHIRE,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200306,POINT (-71.57139 43.680429)
WYOMING,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200456,POINT (-107.55145 42.999627)
MONTANA,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,202200452,POINT (-109.645127 47.033521)
MISSISSIPPI,2022,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,202200441,POINT (-89.65344 32.713378)
NEW YORK CITY,2022,4,,-,2,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK CITY,,202200412,
MARYLAND,2022,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,202200433,POINT (-76.687282 38.946466)
NON-US RESIDENTS,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200469,
NON-US RESIDENTS,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200569,
US RESIDENTS,2022,5,4,,8,,22,,17,,,-,4,,,-,2,,,-,2,,1,,2,,,US RESIDENTS,202200501,
MASSACHUSETTS,2022,5,,-,1,,,-,2,,,-,1,,,-,1,,,-,0,,,-,1,,MASSACHUSETTS,,202200505,POINT (-71.481104 42.151077)
MOUNTAIN,2022,5,1,,2,,1,,2,,,-,1,,,-,1,,,-,1,,,-,,-,,MOUNTAIN,202200548,
PENNSYLVANIA,2022,5,,-,1,,2,,3,,,-,1,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,202200513,POINT (-77.838886 40.896694)
UTAH,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,202200555,POINT (-111.678222 39.323779)
US TERRITORIES,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200563,
ILLINOIS,2022,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ILLINOIS,,202200515,POINT (-89.148632 40.124144)
EAST NORTH CENTRAL,2022,5,,-,2,,1,,2,,,-,1,,,-,,-,,-,2,,1,,1,,,EAST NORTH CENTRAL,202200514,
