Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2015,2,Iowa,Food,,,,Restaurant - Sit-down dining,5,0,4,0,4,,,,,,,,
2015,2,Montana,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,1,Connecticut,Food,Vibrio parahaemolyticus,,Confirmed,Private home/residence,2,0,2,0,2,"crab, raw",,Crustaceans,,,,,
2015,2,Kansas,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2015,2,Minnesota,Food,Norovirus Genogroup II,other,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",18,0,18,0,18,,,,,,,,
2015,2,Ohio,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2015,2,Oregon,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,10,0,8,0,8,salsa,,Multiple,,,,,
2015,2,Oregon,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,26,0,21,0,21,guacamole,,Multiple,,,,,
2015,1,New York,Food,Hepatitis A,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,1,3,0,3,,,,,,,,
2015,2,Minnesota,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,4,1,4,0,4,,,,,,,,
2015,2,Wisconsin,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",100,1,100,0,100,,,,,,,,
2015,2,Florida,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,2,Iowa,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,2,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,3,Virginia,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining; Banquet Facility (food prepared and served on-site),25,0,13,0,13,,,,,,,,
2015,2,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining; Private home/residence,35,0,0,0,35,"cantaloupe; pineapple, unspecified; grapes",,Fruits,,,,,
2015,2,Ohio,Food,Bacillus; Clostridium perfringens,,Suspected; Suspected,Caterer (food prepared off-site from where served),38,0,38,0,38,rendang; sate ayam,,Multiple,,,,,
2015,2,Montana,Food,Salmonella enterica,Braenderup,Confirmed,Restaurant - Sit-down dining,39,1,39,0,39,garden salad,,Multiple,,,,,
2015,3,New York,Food,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),86,0,86,0,86,chips; rolls; pastries,,Multiple,,,,,
2015,2,Illinois,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,4,0,,0,,,,,,,,,
2015,2,Illinois,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),7,0,,0,,,,,,,,,
2015,2,Connecticut,Food,,,,Banquet Facility (food prepared and served on-site),60,0,3,0,3,,,,,,,,
2015,2,Wisconsin,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Banquet Facility (food prepared and served on-site),8,0,8,0,8,,,,,,,,
2015,2,Wisconsin,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,3,Wisconsin,Food,Clostridium perfringens,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,0,5,0,5,,,,,,,,
2015,3,Virginia,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",9,0,9,0,9,,,,,,,,
2015,2,Oregon,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,30,0,25,0,25,,,,,,,,
2015,1,Virginia,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,School/college/university,94,0,0,0,0,,,,,,,,
2015,2,Texas,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,0,0,0,,,,,,,,
2015,3,Texas,Food,,,,Private home/residence; Caterer (food prepared off-site from where served),100,0,0,0,0,,,,,,,,
2015,3,Tennessee,Food,,,,Restaurant - Sit-down dining; Restaurant - other or unknown type,5,0,5,0,5,,,,,,,,
2015,1,Illinois,Food,Other,,Suspected,Other,6,0,,0,,apple juice,juice,Fruits,,,,,
2015,3,Ohio,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,6,1,6,0,6,,,,,,,,
2015,3,Pennsylvania,Food,,,,Banquet Facility (food prepared and served on-site),18,0,18,0,18,,,,,,,,
2015,3,Wisconsin,Food,Norovirus Genogroup I,GI.2,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,"oysters, raw","oysters, raw",Mollusks,,,,,
2015,3,Iowa,Food,Histamine,,Suspected,Private home/residence,2,0,2,0,2,"salmon, unspecified",,Fish,,,,,
2015,3,Iowa,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2015,3,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,3,Ohio,Food,Norovirus unknown,,Suspected,Restaurant - other or unknown type,4,0,0,0,0,,,,,,,,
2015,1,Michigan,Food,Salmonella enterica,Baildon,Confirmed,,5,2,5,0,5,,,,,,,,
2015,3,New York,Food,Scombroid toxin,,Confirmed,Grocery store,2,0,2,0,2,"fish, mahi mahi","fish, mahi mahi",Fish,,,,,
2015,3,New York,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,"oysters, raw",,Mollusks,,,,,
2015,2,Oregon,Food,Norovirus Genogroup II,,Confirmed,,10,0,10,0,10,,,,,,,,
2015,3,Oregon,Food,Norovirus Genogroup II,,Confirmed,,6,0,6,0,6,,,,,,,,
2015,1,Maryland,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2015,3,Virginia,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Banquet Facility (food prepared and served on-site),26,0,26,0,26,,,,,,,,
2015,3,Texas,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,"quesadilla, beef/steak; chips and salsa",,Multiple,,,,,
2015,1,Maryland,Food,,,,Banquet Facility (food prepared and served on-site),46,0,42,0,46,,,,,,,,
2015,3,Connecticut,Food,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Restaurant - other or unknown type,21,0,21,0,21,,,,,,,,
2015,3,Iowa,Food,Norovirus unknown,,Suspected,Unknown,20,0,20,0,20,,,,,,,,
2015,2,Texas,Food,,,,Caterer (food prepared off-site from where served),11,0,,0,,,,,,,,,
2015,3,Ohio,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,1,Texas,Food,Salmonella unknown,,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,"chicken, roasted",,Chicken,,,,,
2015,2,Nevada,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,7,2,7,0,7,spices,,Herbs,,,,,
2015,3,Minnesota,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,16,0,16,0,16,"mostaccioli, unspecified",,Multiple,,,,,
2015,3,Ohio,Food,Norovirus Genogroup I,GI.2,Confirmed,Restaurant - Sit-down dining,7,0,7,0,7,chicken,,Chicken,,,,,
2015,3,Minnesota,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,"soda, unspecified; ice",,Other,,,,,
2015,3,Ohio,Food,Norovirus Genogroup I,GI.2,Confirmed,Restaurant - Sit-down dining,2,0,0,0,0,,,,,,,,
2015,3,Iowa,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2015,3,Minnesota,Food,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",9,0,9,0,9,coleslaw,,Multiple,,,,,
2015,3,Kansas,Food,Bacillus cereus,,Confirmed,Caterer (food prepared off-site from where served),22,0,22,0,22,"enchilada, cheese; salsa",,Multiple,,,,,
2015,3,Minnesota,Food,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,0,5,0,5,sour cream,,Dairy,,,,,
2015,2,Kansas,Food,Salmonella enterica,Mississippi,Confirmed,Unknown,2,0,2,0,2,,,,,,,,
2015,3,Kansas,Food,Norovirus Genogroup I,unknown,Suspected,School/college/university,38,1,38,0,0,popcorn,,Seeded Vegetables,,,,,
2015,2,Kansas,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,2,Kansas,Food,Norovirus Genogroup II,unknown,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,1,Oregon,Food,Listeria monocytogenes,,Confirmed,Private home/residence,2,0,1,0,1,sour cream,sour cream,Dairy,,,,,
2015,3,Georgia,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,3,New York,Food,Scombroid toxin,,Confirmed,Restaurant - Sit-down dining,2,0,2,0,2,tuna burger,yellowfin tuna,Fish,,,,,
2015,3,Ohio,Food,Norovirus,,Suspected,Other,8,0,8,0,8,,,,,,,,
2015,3,Ohio,Food,,,,Unknown,2,0,2,0,2,,,,,,,,
2015,3,Wisconsin,Food,,,,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2015,3,Wisconsin,Food,Salmonella enterica,Weltevreden,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,1,4,0,4,sushi,tuna steak,Fish,,,,,
2015,3,Iowa,Food,Norovirus Genogroup II; Norovirus Genogroup I,,Confirmed; Confirmed,Restaurant - Sit-down dining,59,0,59,0,59,,,,,,,,
2015,1,South Carolina,Food,Scombroid toxin,,Confirmed,Restaurant - Sit-down dining,2,0,2,0,2,tuna steak,tuna steak,Fish,,,,,
2015,3,Arkansas,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,17,0,17,0,17,,,,,,,,
2015,1,Michigan,Food,,,,Restaurant - Sit-down dining,8,0,8,0,8,"salad, other; salad",lettuce; tomato; lettuce; tomato,Multiple,,,,,
2015,2,Michigan,Food,,,,Restaurant - Sit-down dining,4,1,4,0,4,,,,,,,,
2015,3,Illinois,Food,Norovirus; Norovirus Genogroup II,,Suspected; Confirmed,Restaurant - Sit-down dining,15,1,15,0,15,,,,,,,,
2015,3,Illinois,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,5,0,,0,,,,,,,,,
2015,4,Michigan,Food,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),29,1,29,0,29,,,,,,,,
2015,2,Illinois,Food,Clostridium botulinum,,Confirmed,,2,2,,0,,,,,,,,,
2015,3,Illinois,Food,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),42,1,42,0,42,,,,,,,,
2015,3,Illinois,Food,Salmonella enterica,"I 4,[5],12:i:-",Suspected,Private home/residence; Caterer (food prepared off-site from where served),8,0,,0,,,,,,,,,
2015,3,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Suspected,Private home/residence; Caterer (food prepared off-site from where served),12,0,12,0,12,,,,,,,,
2015,3,Illinois,Food,"Salmonella enterica; Escherichia coli, Shiga toxin-producing; Norovirus Genogroup II; Shigella",GII.4 Sydney; ,Suspected; Suspected; Confirmed; Suspected,Restaurant - Sit-down dining,7,0,7,0,7,,,,,,,,
2015,3,Florida,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2015,3,Minnesota,Food,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",7,0,7,0,7,,,,,,,,
2015,3,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Suspected,Restaurant - Sit-down dining,23,0,23,0,23,,,,,,,,
2015,1,Illinois,Food,,,,School/college/university,7,0,,0,,,,,,,,,
2015,3,Kansas,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,2,Indiana,Food,,,,Restaurant - Sit-down dining,5,0,0,0,0,,,,,,,,
2015,4,New York,Food,,,,Restaurant - Sit-down dining,5,0,5,0,5,"beans, black",,Grains-Beans,,,,,
2015,4,Iowa,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,2,South Carolina,Food,Norovirus Genogroup II,,Suspected,Restaurant - other or unknown type,11,0,11,0,11,,,,,,,,
2015,4,Oregon,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,12,0,12,0,12,,,,,,,,
2015,3,New York,Food,,,,Restaurant - Sit-down dining,6,0,6,0,6,mushroom burger,,Multiple,,,,,
2015,3,Minnesota,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,3,Texas,Food,,,,Restaurant - other or unknown type,5,0,5,0,5,,,,,,,,
2015,3,Texas,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2015,3,Kentucky,Food,,,,,19,0,0,0,0,,,,,,,,
2015,4,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - other or unknown type,20,0,0,0,20,,,,,,,,
2015,4,Texas,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,ice water,ice,Other,,,,,
2015,4,Minnesota,Food,Norovirus,,Confirmed,Office/indoor workplace,12,0,12,0,12,,,,,,,,
2015,3,Wisconsin,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Other,10,0,10,0,10,,,,,,,,
2015,3,Texas,Food,,,,Caterer (food prepared off-site from where served),26,0,26,0,26,"chicken, grilled; rice, yellow; beans, unspecified",,Multiple,,,,,
2015,3,Texas,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,4,Minnesota,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Banquet Facility (food prepared and served on-site),22,0,22,0,22,"cake, carrot",,Multiple,,,,,
2015,4,Georgia,Food,Norovirus unknown,,Suspected,School/college/university,155,0,155,0,155,,,,,,,,
2015,3,Michigan,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,2,0,2,,,,,,,,
2015,4,New York,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,29,1,29,0,29,,,,,,,,
2015,4,Ohio,Food,,,,Other,2,0,2,0,2,hummus,,Multiple,,,,,
2015,4,Connecticut,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - other or unknown type; Private home/residence; Grocery store,8,0,8,0,8,,,,,,,,
2015,4,New York,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,7,1,7,0,7,chicken and waffles,"liver, chicken",Chicken,,,,,
2015,3,Florida,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,4,Florida,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,"tomato, basil and mozzarella salad",basil; mozarella; tomato,Multiple,,,,,
2015,1,Oklahoma,Food,Salmonella enterica,Typhi,Confirmed,Private home/residence; Other,36,12,36,0,36,,,,,,,,
2015,2,Michigan,Food,,,,Restaurant - Sit-down dining,13,0,10,0,10,,,,,,,,
2015,3,Tennessee,Food,Salmonella enterica,Enteritidis,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served),24,1,24,0,24,,,,,,,,
2015,4,Florida,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Prison/jail,188,0,188,0,188,,,,,,,,
2015,4,Illinois,Food,Salmonella enterica,Enteritidis,Confirmed,School/college/university,3,0,,0,,,,,,,,,
2015,4,Illinois,Food,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,38,1,,0,,,,,,,,,
2015,3,Minnesota,Food,Norovirus Genogroup I,GI.3,Confirmed,Other,7,0,7,0,7,,,,,,,,
2015,4,Virginia,Food,Norovirus Genogroup II,GII.17,Confirmed,Restaurant - Sit-down dining,7,0,7,0,7,,,,,,,,
2015,4,Illinois,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,5,0,,0,,,,,,,,,
2015,4,Kansas,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,4,Kansas,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2015,4,Kansas,Food,,,,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2015,1,Puerto Rico,Food,Ciguatoxin,,Suspected,Private home/residence,4,0,4,0,4,"fish, hogfish",,Fish,,,,,
2015,3,Utah,Food,Salmonella enterica,Enteritidis,Confirmed,"Caterer (food prepared off-site from where served); Fair, festival, other temp or mobile services; Grocery store",8,1,8,0,8,,,,,,,,
2015,4,Kansas,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Other,10,0,10,0,10,,,,,,,,
2015,4,Minnesota,Food,Norovirus Genogroup I,GI.2,Confirmed,Grocery store,7,0,7,0,7,,,,,,,,
2015,4,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,1,North Dakota,Food,,,,Restaurant - Sit-down dining,9,0,9,0,9,,,,,,,,
2015,2,North Dakota,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,3,Utah,Food,,,,Restaurant - Sit-down dining,4,1,4,0,4,,,,,,,,
2015,4,Oregon,Food,,,,,8,0,8,0,8,,,,,,,,
2015,4,Montana,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),29,0,29,0,29,,,,,,,,
2015,5,Minnesota,Food,Other - Chemical/Toxin,,Suspected,Grocery store,5,0,1,0,5,,,,,,,,
2015,5,Minnesota,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,12,0,7,0,12,ice,,Other,,,,,
2015,4,Ohio,Food,Clostridium botulinum,,Confirmed,Private home/residence,29,28,29,2,29,home made potato salad,potatoes,Root/Underground,,,,,
2015,4,New York,Food,Norovirus Genogroup II,GII.10,Suspected,Grocery store,35,0,35,0,35,"sandwich, deli",,Multiple,,,,,
2015,4,Kansas,Food,Salmonella enterica,Enteritidis,Confirmed,Other,3,0,3,0,3,,,,,,,,
2015,4,Kansas,Food,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,Private home/residence,4,0,4,0,4,,,,,,,,
2015,4,Virginia,Food,Campylobacter jejuni,,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),19,1,19,0,19,,,,,,,,
2015,4,Illinois,Food,Norovirus Genogroup I,GI.5,Confirmed,Restaurant - Sit-down dining,20,0,,0,,,,,,,,,
2015,4,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O26,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,2,0,2,,,,,,,,
2015,5,Minnesota,Food,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,chicken vindaloo,,Multiple,,,,,
2015,5,Ohio,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,2,0,2,,,,,,,,
2015,5,Ohio,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,3,Georgia,Food,Clostridium perfringens,,Confirmed,Prison/jail,76,0,76,0,76,hot dog; pork and beans,,Multiple,,,,,
2015,5,Illinois,Food,Norovirus,,Suspected,Unknown,10,0,,0,,,,,,,,,
2015,4,Maryland,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,2,0,2,"chicken, buffalo wings",,Multiple,,,,,
2015,5,Illinois,Food,,,,Restaurant - Sit-down dining,5,0,,0,,,,,,,,,
2015,4,Illinois,Food,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,Unknown,5,2,5,0,5,,,,,,,,
2015,4,Colorado,Food,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2015,5,Hawaii,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,fried corn tortilla,,Multiple,,,,,
2015,4,Connecticut,Food,Salmonella enterica,Braenderup,Confirmed,Restaurant - Sit-down dining,14,4,14,0,14,"salad, unspecified; sandwich, unspecified",,Multiple,,,,,
2015,5,Missouri,Food,Salmonella enterica,Enteritidis,Suspected,,6,0,6,0,6,,,,,,,,
2015,5,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Banquet Facility (food prepared and served on-site),48,1,47,0,47,salad,lettuce,Vegetable Row Crops,,,,,
2015,5,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Banquet Facility (food prepared and served on-site),4,0,4,0,4,"salad, unspecified",lettuce,Vegetable Row Crops,,,,,
